date_value,month_num,season,tmax,tmin,tavg,snowfall,snow_depth,precipitation,weather_type,wind_speed,humidity,pressure,visibility,cloud_cover,storm_flag,rain_flag,fog_flag,heat_index,dew_point,feels_like,wind_direction,day_name,city
2019-01-01,1,Winter,17.97,0.05,8.38,7.65,6.29,3.57,Sunny,26.73,55,980.74,1.53,7,1,1,0,12.68,0.06,18.55,S,Tuesday,New York
2019-01-02,1,Winter,12.78,4.16,14.41,5.61,6.7,2.87,Fog,11.13,79,986.89,6.46,9,0,0,1,20.61,8.99,1.29,S,Wednesday,New York
2019-01-03,1,Winter,4.82,9.52,9.78,2.25,4.33,4.89,Fog,1.7,92,1001.54,5.32,3,0,1,0,35.95,1.73,25.91,S,Thursday,New York
2019-01-04,1,Winter,10.03,4.96,5.55,7.04,4.68,1.14,Sunny,3.6,76,988.93,2.33,4,1,0,1,29.55,3.72,10.5,S,Friday,New York
2019-01-05,1,Winter,12.03,6.81,13.96,6.22,1.53,4.7,Sunny,9.18,50,1003.48,8.51,5,1,1,0,0.52,6.6,13.49,S,Saturday,New York
2019-01-06,1,Winter,5.7,2.05,11.22,2.48,8.96,2.36,Rain,21.35,46,1015.0,6.02,9,1,1,0,1.66,6.94,14.18,W,Sunday,New York
2019-01-07,1,Winter,6.53,6.63,4.6,5.82,5.32,0.16,Rain,3.76,48,1007.77,5.02,3,1,1,1,36.72,9.7,24.93,SW,Monday,New York
2019-01-08,1,Winter,7.12,8.32,12.63,1.39,1.09,4.33,Fog,26.35,77,1009.18,3.83,0,0,1,1,34.94,6.3,23.29,SE,Tuesday,New York
2019-01-09,1,Winter,14.99,5.79,4.6,1.44,9.82,0.07,Cloudy,19.64,66,996.89,8.49,7,0,1,0,1.41,4.5,29.77,NW,Wednesday,New York
2019-01-10,1,Winter,3.52,5.07,1.58,7.07,5.4,0.98,Rain,8.68,64,981.05,0.13,3,1,1,0,3.32,2.43,0.84,NW,Thursday,New York
2019-01-11,1,Winter,11.68,3.53,9.72,0.11,2.65,2.8,Rain,3.12,69,999.42,8.94,5,0,1,0,14.52,4.87,2.58,W,Friday,New York
2019-01-12,1,Winter,18.42,0.44,4.86,3.47,3.2,4.13,Fog,13.16,66,980.56,9.74,1,1,0,0,26.94,9.95,27.63,N,Saturday,New York
2019-01-13,1,Winter,19.58,1.53,1.06,3.87,7.44,1.58,Snow,7.4,55,981.89,1.12,9,0,1,1,0.23,6.35,21.85,S,Sunday,New York
2019-01-14,1,Winter,19.93,6.14,8.29,1.19,4.13,0.01,Sunny,22.88,68,983.79,2.79,6,0,1,0,22.85,1.11,18.68,S,Monday,New York
2019-01-15,1,Winter,0.14,3.52,4.82,0.79,0.03,4.15,Rain,3.15,51,1009.47,2.03,6,1,1,0,4.81,0.25,26.36,SE,Tuesday,New York
2019-01-16,1,Winter,14.13,0.38,1.98,0.63,1.31,4.09,Cloudy,12.39,98,1015.47,2.98,0,0,1,0,4.11,4.64,17.44,SW,Wednesday,New York
2019-01-17,1,Winter,7.05,1.26,1.82,7.02,8.05,3.99,Sunny,4.88,64,1008.87,9.38,7,1,1,0,12.74,1.37,9.81,N,Thursday,New York
2019-01-18,1,Winter,1.22,8.23,10.89,4.34,1.14,4.64,Cloudy,23.97,32,1003.05,4.8,7,0,1,0,29.27,7.45,5.35,S,Friday,New York
2019-01-19,1,Winter,1.98,8.45,1.47,2.01,5.87,3.18,Fog,17.34,89,980.4,2.75,2,1,1,0,7.68,0.38,21.31,W,Saturday,New York
2019-01-20,1,Winter,15.3,0.45,10.26,2.11,0.42,1.3,Rain,18.7,95,991.37,8.36,9,0,0,0,21.5,3.1,3.67,NW,Sunday,New York
2019-01-21,1,Winter,6.09,7.98,12.89,3.44,3.91,2.63,Cloudy,13.35,74,1014.96,5.49,6,1,1,0,25.63,9.05,14.06,W,Monday,New York
2019-01-22,1,Winter,3.11,5.13,13.06,3.18,9.04,4.09,Fog,13.32,79,1003.35,7.16,6,1,0,0,2.15,3.09,10.05,NW,Tuesday,New York
2019-01-23,1,Winter,2.63,3.75,10.3,2.6,7.61,1.01,Rain,3.23,95,983.66,1.15,7,0,0,0,0.51,5.73,10.54,E,Wednesday,New York
2019-01-24,1,Winter,17.0,2.47,3.93,6.47,1.74,2.99,Sunny,10.01,23,983.59,2.31,8,0,1,0,36.6,9.55,12.92,NW,Thursday,New York
2019-01-25,1,Winter,4.91,5.38,7.2,2.1,2.0,4.59,Snow,15.5,94,986.21,0.57,2,1,1,0,24.34,9.56,8.16,W,Friday,New York
2019-01-26,1,Winter,8.44,7.52,1.38,3.9,3.45,2.38,Cloudy,0.73,59,1018.12,8.01,9,1,1,0,23.71,1.23,12.06,S,Saturday,New York
2019-01-27,1,Winter,10.24,9.86,8.31,2.85,9.29,3.67,Cloudy,24.85,90,1002.2,6.27,4,1,1,0,20.38,6.16,19.31,E,Sunday,New York
2019-01-28,1,Winter,13.85,0.46,6.83,6.05,0.9,3.97,Rain,24.18,54,984.16,9.99,4,1,0,0,25.25,9.16,1.57,SW,Monday,New York
2019-01-29,1,Winter,9.29,3.89,7.28,4.33,7.78,3.21,Rain,11.86,36,999.97,5.46,8,1,0,1,17.01,1.54,18.2,N,Tuesday,New York
2019-01-30,1,Winter,15.2,8.64,10.34,5.02,4.9,4.32,Sunny,5.57,61,986.17,0.32,2,0,0,0,7.77,3.8,15.68,SW,Wednesday,New York
2019-01-31,1,Winter,0.88,5.78,14.49,2.5,2.94,2.39,Fog,16.16,62,986.75,6.55,4,0,1,1,11.1,4.87,21.92,NW,Thursday,New York
2019-02-01,2,Winter,11.83,4.22,3.99,3.73,4.1,4.12,Sunny,27.17,91,995.2,9.7,9,1,1,1,31.03,3.6,18.2,W,Friday,New York
2019-02-02,2,Winter,13.09,0.67,6.21,7.42,7.03,1.59,Snow,2.05,78,1016.27,0.53,6,1,0,1,8.74,8.86,3.1,SE,Saturday,New York
2019-02-03,2,Winter,0.63,8.69,2.43,6.67,1.19,2.27,Fog,25.58,88,989.67,9.98,4,0,1,0,26.34,4.4,11.48,W,Sunday,New York
2019-02-04,2,Winter,4.91,5.85,3.78,3.92,7.17,2.31,Sunny,23.7,24,1000.97,7.3,0,1,1,0,7.23,4.8,2.35,NE,Monday,New York
2019-02-05,2,Winter,7.57,1.98,12.57,5.51,9.28,4.09,Sunny,21.73,61,988.45,4.83,9,0,0,0,37.75,3.32,6.61,W,Tuesday,New York
2019-02-06,2,Winter,17.97,6.95,11.2,4.0,7.97,3.2,Rain,27.37,41,981.71,1.04,5,0,0,0,30.65,7.83,20.4,E,Wednesday,New York
2019-02-07,2,Winter,6.1,2.91,11.62,6.37,3.57,2.35,Sunny,17.33,23,997.3,6.0,6,1,1,1,21.65,2.29,25.5,N,Thursday,New York
2019-02-08,2,Winter,1.53,7.04,14.67,5.87,1.55,0.56,Rain,12.0,34,1005.14,0.64,8,0,0,1,4.76,6.86,8.8,E,Friday,New York
2019-02-09,2,Winter,5.95,2.54,11.17,6.7,5.65,0.44,Fog,15.6,22,1013.69,1.6,6,1,0,1,16.02,1.89,27.74,SW,Saturday,New York
2019-02-10,2,Winter,15.52,7.45,13.11,1.3,4.71,3.98,Snow,10.47,38,991.99,6.01,2,1,1,0,6.01,2.42,18.66,NW,Sunday,New York
2019-02-11,2,Winter,10.04,7.92,5.78,5.36,6.71,2.83,Cloudy,7.65,80,1018.97,0.43,2,0,0,1,35.21,9.39,11.64,N,Monday,New York
2019-02-12,2,Winter,17.46,4.33,10.16,6.45,6.34,4.1,Cloudy,26.91,65,1000.81,1.04,3,1,0,0,11.19,1.36,12.77,W,Tuesday,New York
2019-02-13,2,Winter,6.91,0.79,11.91,3.71,4.94,1.6,Snow,7.81,26,991.25,8.16,1,1,1,0,31.13,4.87,16.75,N,Wednesday,New York
2019-02-14,2,Winter,17.38,2.81,14.45,4.73,0.93,2.75,Rain,27.02,62,1014.58,7.61,1,1,0,1,35.91,3.97,10.28,N,Thursday,New York
2019-02-15,2,Winter,18.65,1.7,3.08,2.98,8.35,4.2,Rain,21.81,97,990.6,4.22,3,0,1,1,28.02,8.6,7.79,SW,Friday,New York
2019-02-16,2,Winter,16.37,9.25,13.98,6.77,5.54,0.5,Cloudy,28.03,81,1012.98,2.84,0,1,1,0,36.78,7.63,5.0,W,Saturday,New York
2019-02-17,2,Winter,17.63,7.34,8.01,3.55,8.7,0.24,Sunny,2.77,37,1000.64,4.23,5,0,1,0,3.49,9.48,13.24,SE,Sunday,New York
2019-02-18,2,Winter,16.7,0.83,9.04,6.11,1.06,4.8,Snow,24.24,68,984.3,0.37,0,1,0,1,7.41,5.0,25.05,NW,Monday,New York
2019-02-19,2,Winter,17.37,4.01,12.08,4.52,4.82,0.28,Snow,18.63,34,1007.95,2.87,6,1,1,1,36.91,7.84,21.56,NE,Tuesday,New York
2019-02-20,2,Winter,11.13,3.42,0.47,2.66,6.44,1.37,Sunny,20.31,99,995.93,1.02,6,0,0,1,8.15,4.59,8.91,N,Wednesday,New York
2019-02-21,2,Winter,3.72,5.09,11.45,3.16,4.87,3.48,Snow,21.95,56,984.65,3.79,4,1,1,0,17.57,6.69,10.45,SW,Thursday,New York
2019-02-22,2,Winter,12.1,4.82,7.2,2.92,9.88,1.46,Sunny,8.91,80,988.47,0.76,5,1,1,1,15.2,2.46,19.6,N,Friday,New York
2019-02-23,2,Winter,19.18,7.56,12.72,3.03,3.61,4.34,Snow,25.13,90,1015.17,9.93,8,1,1,0,31.88,3.02,7.17,NE,Saturday,New York
2019-02-24,2,Winter,18.65,1.65,12.82,5.35,6.56,4.86,Rain,10.84,42,992.59,2.51,3,0,1,1,23.06,7.95,27.72,N,Sunday,New York
2019-02-25,2,Winter,18.88,3.57,8.7,1.89,9.22,4.75,Snow,14.19,65,1005.05,7.32,6,1,0,1,1.73,0.3,13.81,S,Monday,New York
2019-02-26,2,Winter,11.93,7.3,6.29,6.36,2.31,4.18,Cloudy,16.19,44,1016.71,8.86,3,1,0,0,14.42,1.71,12.48,NE,Tuesday,New York
2019-02-27,2,Winter,2.16,4.46,8.11,3.96,1.93,3.78,Fog,3.23,36,998.76,5.14,2,1,1,1,9.35,6.78,5.23,SW,Wednesday,New York
2019-02-28,2,Winter,17.39,2.06,7.82,2.83,7.5,0.35,Sunny,20.59,74,982.45,5.0,6,0,1,0,20.75,3.47,17.76,E,Thursday,New York
2019-03-01,3,Spring,12.23,6.19,11.23,5.0,4.53,1.98,Snow,11.6,33,983.13,9.6,3,0,0,1,22.89,0.74,3.99,NE,Friday,New York
2019-03-02,3,Spring,11.64,4.59,1.95,4.99,6.48,3.77,Sunny,12.6,70,994.31,4.83,6,0,0,0,34.01,7.79,21.04,NE,Saturday,New York
2019-03-03,3,Spring,3.3,8.26,1.52,6.71,4.55,3.83,Fog,12.64,92,1006.11,9.05,7,1,0,0,24.46,8.8,19.78,SW,Sunday,New York
2019-03-04,3,Spring,17.7,2.34,11.39,5.35,2.69,2.5,Rain,12.45,31,991.59,6.3,6,0,0,0,28.85,7.08,14.55,N,Monday,New York
2019-03-05,3,Spring,15.74,8.94,1.45,3.43,0.89,3.31,Snow,21.74,58,1013.39,8.08,1,1,1,0,28.05,0.95,19.17,NE,Tuesday,New York
2019-03-06,3,Spring,7.13,2.31,5.0,6.87,5.72,2.9,Snow,29.0,77,983.56,5.8,2,0,0,1,20.94,4.73,20.27,SW,Wednesday,New York
2019-03-07,3,Spring,9.53,9.3,13.88,1.89,2.54,1.89,Rain,27.13,87,1019.89,0.15,1,1,1,0,33.25,5.64,20.42,NW,Thursday,New York
2019-03-08,3,Spring,16.77,7.44,11.61,0.19,3.85,4.51,Rain,27.28,34,999.84,3.54,2,1,1,0,6.73,7.93,23.37,SW,Friday,New York
2019-03-09,3,Spring,19.7,7.93,1.73,5.07,4.69,0.76,Fog,19.79,42,996.18,9.4,9,0,1,0,7.96,8.48,13.1,NE,Saturday,New York
2019-03-10,3,Spring,0.47,2.38,7.2,5.51,9.34,1.83,Sunny,5.27,57,1007.58,9.32,7,1,0,0,23.64,6.07,22.27,S,Sunday,New York
2019-03-11,3,Spring,12.7,2.16,10.0,3.54,9.16,3.06,Snow,3.8,58,1011.75,8.71,7,0,1,1,35.92,4.47,3.33,NE,Monday,New York
2019-03-12,3,Spring,19.76,2.0,14.45,7.77,5.73,4.35,Cloudy,7.62,81,998.38,4.56,2,0,0,0,11.07,1.93,8.65,E,Tuesday,New York
2019-03-13,3,Spring,19.59,9.55,8.05,6.02,8.84,4.62,Cloudy,22.46,34,1012.16,6.08,8,1,1,1,3.56,7.95,26.92,S,Wednesday,New York
2019-03-14,3,Spring,10.05,9.04,14.78,4.19,5.62,4.21,Cloudy,26.48,64,992.34,8.42,3,1,0,1,2.89,7.93,18.8,W,Thursday,New York
2019-03-15,3,Spring,1.73,5.95,10.16,4.39,6.9,4.54,Sunny,13.09,40,992.31,2.88,1,0,1,0,17.08,0.24,12.92,S,Friday,New York
2019-03-16,3,Spring,12.7,8.52,4.42,3.16,4.35,0.87,Rain,3.55,69,1005.7,1.26,9,0,1,0,17.26,7.84,1.33,S,Saturday,New York
2019-03-17,3,Spring,19.92,3.03,0.79,5.02,8.52,3.22,Snow,9.14,41,1001.68,7.79,0,0,0,0,24.6,4.37,3.08,N,Sunday,New York
2019-03-18,3,Spring,1.95,0.48,3.73,0.92,0.7,4.97,Snow,19.73,75,983.66,9.46,3,1,0,1,34.1,8.02,12.94,W,Monday,New York
2019-03-19,3,Spring,15.14,9.4,5.06,3.07,4.5,3.47,Rain,11.18,60,997.14,1.51,4,1,1,0,37.49,4.95,13.13,N,Tuesday,New York
2019-03-20,3,Spring,17.57,2.8,14.43,0.43,0.84,0.93,Fog,18.71,36,1016.32,7.21,6,0,0,0,17.69,3.73,11.11,NE,Wednesday,New York
2019-03-21,3,Spring,0.14,7.83,13.86,0.41,0.9,3.0,Sunny,28.61,58,1010.45,4.91,7,0,1,1,20.79,8.64,27.93,S,Thursday,New York
2019-03-22,3,Spring,5.48,4.61,11.91,6.23,7.79,3.84,Cloudy,5.02,66,1002.33,2.51,7,1,1,1,30.74,3.42,23.76,N,Friday,New York
2019-03-23,3,Spring,13.59,8.68,10.69,1.42,8.84,0.81,Fog,7.22,81,990.52,1.75,6,1,1,1,24.35,5.92,0.52,SW,Saturday,New York
2019-03-24,3,Spring,13.47,8.4,7.36,1.0,4.86,3.65,Sunny,15.45,33,1003.56,1.47,0,1,1,0,1.86,8.25,23.18,S,Sunday,New York
2019-03-25,3,Spring,6.04,1.53,8.08,3.54,1.22,1.63,Cloudy,5.41,82,1014.31,9.78,6,0,0,1,18.9,4.64,29.28,E,Monday,New York
2019-03-26,3,Spring,2.17,4.9,13.82,2.08,7.19,2.06,Fog,25.18,28,993.58,5.34,4,1,0,1,37.44,6.14,16.87,S,Tuesday,New York
2019-03-27,3,Spring,2.12,6.53,7.17,7.76,7.51,4.37,Rain,14.52,67,991.75,7.64,8,0,0,0,19.39,2.42,28.94,SW,Wednesday,New York
2019-03-28,3,Spring,6.06,0.8,11.02,1.19,3.02,2.11,Cloudy,2.31,95,981.09,0.17,4,1,1,1,18.26,4.19,17.17,W,Thursday,New York
2019-03-29,3,Spring,0.4,1.62,14.46,7.7,7.18,2.07,Sunny,6.58,50,1004.94,7.06,6,0,1,0,17.68,1.69,6.81,S,Friday,New York
2019-03-30,3,Spring,18.75,9.55,9.94,2.09,8.63,4.45,Fog,26.59,75,1003.17,4.1,1,1,1,1,34.66,7.37,14.12,NE,Saturday,New York
